year,level_1,value
2011,Gold Banded Scad (Kuning) (Per Kilogram),6.11
2011,Flowery Grouper (Per Kilogram),14.28
2011,White Pomfret (Per Kilogram),24.28
2011,Salmon (Per Kilogram),26.17
2011,Sea Bass (Per Kilogram),12.15
2011,Sea Bream (Ang Ko Li) (Per Kilogram),7.56
2011,Golden Snapper (Per Kilogram),16.74
2011,Spanish Mackerel (Batang) (Per Kilogram),10.44
2011,Threadfin (Kurau) (Per Kilogram),44.36
2011,Small Prawns (Per Kilogram),10.47
2011,Medium Prawns (Per Kilogram),16.91
2011,Squids (Per Kilogram),11.15
2011,Fresh Milk (Per Litre),2.85
2011,Infant Milk Powder (Per 100 Gram),4.31
2011,Cheese (Per 12 Slices),5.06
2011,Hen Eggs (Per 10),1.98
2011,Cooking Oil (Per 2 Kilogram),6.04
2011,Bananas (Per Kilogram),1.56
2011,Papaya (Per Kilogram),1.68
2011,Watermelon (Per Kilogram),1.31
2011,Grapes (Per Kilogram),7.66
2011,Orange (Each),0.34
2011,Apple (Each),0.38
2011,Pear (Each),0.92
2011,Broccoli (Per Kilogram),6.8
2011,Cabbage (Per Kilogram),1.81
2011,Chinese Kale (Kailan) (Per Kilogram),4.11
2011,Small Mustard (Chye Sim) (Per Kilogram),3.16
2011,Spinach (Bayam) (Per Kilogram),2.83
2011,Tomatoes (Per Kilogram),1.96
2011,Potatoes (Per Kilogram),1.79
2011,Carrots (Per Kilogram),1.95
2011,White Sugar (Per 2 Kilogram),3.37
2011,Instant Coffee (Per 200 Gram),9.79
2011,Aerated Soft Drinks (Per 4 Cans),na
2011,Non-aerated Soft Drinks (Per 6 Packets),2.36
2011,Beer (Per 6 Cans),na
2011,Cigarettes (Per Pack),10.73
2011,Coffee/tea Without Milk (Per Cup),na
2011,Coffee/tea With Milk (Per Cup),na
2011,Fishball Noodle (Per Bowl),na
2011,Mee Rebus (Per Bowl),na
2011,Chicken Rice (Per Plate),na
2011,Chicken Nasi Briyani (Per Plate),na
2011,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),na
2011,Roti Prata (Plain) (Per Piece),na
2011,Fried Carrot Cake (Per Plate),na
2011,Ice Kachang (Per Bowl),na
2011,Diesel (Per Litre),1.46
2011,"Petrol, 98 Octane (Per Litre)",2.04
2011,"Petrol, 95 Octane (Per Litre)",1.96
2011,"Petrol, 92 Octane (Per Litre)",1.9
2011,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.35
2012,Premium Thai Rice (Per 5 Kilogram),12.67
2012,Ordinary White Bread (Per 400 Gram),1.46
2012,Vitamin Enriched Bread (Per 400 Gram),1.6
2012,Wholemeal Bread (Per 400 Gram),na
2012,Instant Noodles (Per 5 Packets),2.23
2012,"Lean Pork, Chilled (Per Kilogram)",13.07
2012,"Streaky Pork, Chilled (Per Kilogram)",14.4
2012,"Pork Rib Bones, Chilled (Per Kilogram)",16.48
2012,"Beef, Chilled (Per Kilogram)",na
2012,"Mutton, Chilled (Per Kilogram)",17.79
2012,"Whole Chicken, Chilled (Per Kilogram)",5.87
2012,"Chicken Wing, Chilled (Per Kilogram)",na
2012,"Duck, Chilled (Per Kilogram)",6.75
2012,"Lean Pork, Frozen (Per 500 Gram)",na
2012,"Pork Rib Bones, Frozen (Per 500 Gram)",na
2012,Cod Fish (Per Kilogram),48.85
2012,Gold Banded Scad (Kuning) (Per Kilogram),6.57
2012,Flowery Grouper (Per Kilogram),14.62
2012,White Pomfret (Per Kilogram),24.76
2012,Salmon (Per Kilogram),25.41
2012,Sea Bass (Per Kilogram),12.46
2012,Sea Bream (Ang Ko Li) (Per Kilogram),8.27
2012,Golden Snapper (Per Kilogram),16.77
2012,Spanish Mackerel (Batang) (Per Kilogram),10.97
2012,Threadfin (Kurau) (Per Kilogram),44.8
2012,Small Prawns (Per Kilogram),11.17
2012,Medium Prawns (Per Kilogram),17.23
2012,Squids (Per Kilogram),11.32
2012,Fresh Milk (Per Litre),2.88
2012,Infant Milk Powder (Per 100 Gram),4.48
2012,Cheese (Per 12 Slices),5.07
2012,Hen Eggs (Per 10),1.88
2012,Cooking Oil (Per 2 Kilogram),5.99
2012,Bananas (Per Kilogram),1.65
2012,Papaya (Per Kilogram),1.79
2012,Watermelon (Per Kilogram),1.34
2012,Grapes (Per Kilogram),7.88
2012,Orange (Each),0.34
2012,Apple (Each),0.4
2012,Pear (Each),0.93
2012,Broccoli (Per Kilogram),7.54
2012,Cabbage (Per Kilogram),1.91
2012,Chinese Kale (Kailan) (Per Kilogram),4.13
2012,Small Mustard (Chye Sim) (Per Kilogram),2.97
2012,Spinach (Bayam) (Per Kilogram),2.79
2012,Tomatoes (Per Kilogram),2
2012,Potatoes (Per Kilogram),1.71
2012,Carrots (Per Kilogram),1.96
2012,White Sugar (Per 2 Kilogram),3.34
2012,Instant Coffee (Per 200 Gram),10.07
2012,Aerated Soft Drinks (Per 4 Cans),na
2012,Non-aerated Soft Drinks (Per 6 Packets),2.38
2012,Beer (Per 6 Cans),na
2012,Cigarettes (Per Pack),10.8
2012,Coffee/tea Without Milk (Per Cup),na
2012,Coffee/tea With Milk (Per Cup),na
2012,Fishball Noodle (Per Bowl),na
2012,Mee Rebus (Per Bowl),na
2012,Chicken Rice (Per Plate),na
2012,Chicken Nasi Briyani (Per Plate),na
2012,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),na
2012,Roti Prata (Plain) (Per Piece),na
2012,Fried Carrot Cake (Per Plate),na
2012,Ice Kachang (Per Bowl),na
2012,Diesel (Per Litre),1.5
2012,"Petrol, 98 Octane (Per Litre)",2.13
2012,"Petrol, 95 Octane (Per Litre)",2
2012,"Petrol, 92 Octane (Per Litre)",1.95
2012,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.47
2013,Premium Thai Rice (Per 5 Kilogram),12.78
2013,Ordinary White Bread (Per 400 Gram),1.49
2013,Vitamin Enriched Bread (Per 400 Gram),1.68
2013,Wholemeal Bread (Per 400 Gram),na
2013,Instant Noodles (Per 5 Packets),2.23
2013,"Lean Pork, Chilled (Per Kilogram)",13.14
2013,"Streaky Pork, Chilled (Per Kilogram)",14.67
2013,"Pork Rib Bones, Chilled (Per Kilogram)",16.4
2013,"Beef, Chilled (Per Kilogram)",na
2013,"Mutton, Chilled (Per Kilogram)",17.89
2013,"Whole Chicken, Chilled (Per Kilogram)",5.96
2013,"Chicken Wing, Chilled (Per Kilogram)",na
2013,"Duck, Chilled (Per Kilogram)",6.87
2013,"Lean Pork, Frozen (Per 500 Gram)",na
2013,"Pork Rib Bones, Frozen (Per 500 Gram)",na
2013,Cod Fish (Per Kilogram),49.58
2013,Gold Banded Scad (Kuning) (Per Kilogram),6.57
2013,Flowery Grouper (Per Kilogram),14.63
2013,White Pomfret (Per Kilogram),24.7
2013,Salmon (Per Kilogram),26.23
2013,Sea Bass (Per Kilogram),12.29
2013,Sea Bream (Ang Ko Li) (Per Kilogram),8.43
2013,Golden Snapper (Per Kilogram),17.71
2013,Spanish Mackerel (Batang) (Per Kilogram),11.07
2013,Threadfin (Kurau) (Per Kilogram),48.53
2013,Small Prawns (Per Kilogram),11.69
2013,Medium Prawns (Per Kilogram),17.88
2013,Squids (Per Kilogram),11.97
2013,Fresh Milk (Per Litre),2.93
2013,Infant Milk Powder (Per 100 Gram),4.92
2013,Cheese (Per 12 Slices),4.85
2013,Hen Eggs (Per 10),1.94
2013,Cooking Oil (Per 2 Kilogram),5.67
2013,Bananas (Per Kilogram),1.81
2013,Papaya (Per Kilogram),1.92
2013,Watermelon (Per Kilogram),1.46
2013,Grapes (Per Kilogram),8.43
2013,Orange (Each),0.36
2013,Apple (Each),0.42
2013,Pear (Each),0.95
2013,Broccoli (Per Kilogram),7.38
2013,Cabbage (Per Kilogram),1.94
2013,Chinese Kale (Kailan) (Per Kilogram),4.31
2013,Small Mustard (Chye Sim) (Per Kilogram),3.04
2013,Spinach (Bayam) (Per Kilogram),2.81
2013,Tomatoes (Per Kilogram),2.2
2013,Potatoes (Per Kilogram),1.78
2013,Carrots (Per Kilogram),1.98
2013,White Sugar (Per 2 Kilogram),3.28
2013,Instant Coffee (Per 200 Gram),9.96
2013,Aerated Soft Drinks (Per 4 Cans),na
2013,Non-aerated Soft Drinks (Per 6 Packets),2.42
2013,Beer (Per 6 Cans),na
2013,Cigarettes (Per Pack),10.86
2013,Coffee/tea Without Milk (Per Cup),na
2013,Coffee/tea With Milk (Per Cup),na
2013,Fishball Noodle (Per Bowl),na
2013,Mee Rebus (Per Bowl),na
2013,Chicken Rice (Per Plate),na
2013,Chicken Nasi Briyani (Per Plate),na
2013,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),na
2013,Roti Prata (Plain) (Per Piece),na
2013,Fried Carrot Cake (Per Plate),na
2013,Ice Kachang (Per Bowl),na
2013,Diesel (Per Litre),1.51
2013,"Petrol, 98 Octane (Per Litre)",2.2
2013,"Petrol, 95 Octane (Per Litre)",2.05
2013,"Petrol, 92 Octane (Per Litre)",1.99
2013,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.51
2014,Premium Thai Rice (Per 5 Kilogram),13.07
2014,Ordinary White Bread (Per 400 Gram),1.57
2014,Vitamin Enriched Bread (Per 400 Gram),1.88
2014,Wholemeal Bread (Per 400 Gram),2.04
2014,Instant Noodles (Per 5 Packets),2.21
2014,"Lean Pork, Chilled (Per Kilogram)",13.21
2014,"Streaky Pork, Chilled (Per Kilogram)",14.88
2014,"Pork Rib Bones, Chilled (Per Kilogram)",16.44
2014,"Beef, Chilled (Per Kilogram)",22.65
2014,"Mutton, Chilled (Per Kilogram)",17.79
2014,"Whole Chicken, Chilled (Per Kilogram)",6.14
2014,"Chicken Wing, Chilled (Per Kilogram)",7.87
2014,"Duck, Chilled (Per Kilogram)",6.83
2014,"Lean Pork, Frozen (Per 500 Gram)",4.37
2014,"Pork Rib Bones, Frozen (Per 500 Gram)",5.12
2014,Cod Fish (Per Kilogram),48.6
2014,Gold Banded Scad (Kuning) (Per Kilogram),6.77
2014,Flowery Grouper (Per Kilogram),13.79
2014,White Pomfret (Per Kilogram),25.02
2014,Salmon (Per Kilogram),27.42
2014,Sea Bass (Per Kilogram),12.35
2014,Sea Bream (Ang Ko Li) (Per Kilogram),8.61
2014,Golden Snapper (Per Kilogram),18.04
2014,Spanish Mackerel (Batang) (Per Kilogram),11.36
2014,Threadfin (Kurau) (Per Kilogram),51.18
2014,Small Prawns (Per Kilogram),12.92
2014,Medium Prawns (Per Kilogram),18.69
2014,Squids (Per Kilogram),12.72
2014,Fresh Milk (Per Litre),2.87
2014,Infant Milk Powder (Per 100 Gram),5.67
2014,Cheese (Per 12 Slices),4.74
2014,Hen Eggs (Per 10),2.14
2014,Cooking Oil (Per 2 Kilogram),6.5
2014,Bananas (Per Kilogram),2.12
2014,Papaya (Per Kilogram),2.15
2014,Watermelon (Per Kilogram),1.65
2014,Grapes (Per Kilogram),8.92
2014,Orange (Each),0.35
2014,Apple (Each),0.45
2014,Pear (Each),0.97
2014,Broccoli (Per Kilogram),6.06
2014,Cabbage (Per Kilogram),2.01
2014,Chinese Kale (Kailan) (Per Kilogram),5.14
2014,Small Mustard (Chye Sim) (Per Kilogram),3.2
2014,Spinach (Bayam) (Per Kilogram),2.79
2014,Tomatoes (Per Kilogram),2.33
2014,Potatoes (Per Kilogram),1.95
2014,Carrots (Per Kilogram),2.04
2014,White Sugar (Per 2 Kilogram),3.19
2014,Instant Coffee (Per 200 Gram),9.94
2014,Aerated Soft Drinks (Per 4 Cans),2.5
2014,Non-aerated Soft Drinks (Per 6 Packets),2.49
2014,Beer (Per 6 Cans),17.07
2014,Cigarettes (Per Pack),11.82
2014,Coffee/tea Without Milk (Per Cup),0.96
2014,Coffee/tea With Milk (Per Cup),1.07
2014,Fishball Noodle (Per Bowl),3.15
2014,Mee Rebus (Per Bowl),2.99
2014,Chicken Rice (Per Plate),3.15
2014,Chicken Nasi Briyani (Per Plate),5.1
2014,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.09
2014,Roti Prata (Plain) (Per Piece),0.96
2014,Fried Carrot Cake (Per Plate),2.79
2014,Ice Kachang (Per Bowl),1.89
2014,Diesel (Per Litre),1.5
2014,"Petrol, 98 Octane (Per Litre)",2.22
2014,"Petrol, 95 Octane (Per Litre)",2.05
2014,"Petrol, 92 Octane (Per Litre)",2
2014,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.55
2015,Premium Thai Rice (Per 5 Kilogram),13.07
2015,Ordinary White Bread (Per 400 Gram),1.6
2015,Vitamin Enriched Bread (Per 400 Gram),1.88
2015,Wholemeal Bread (Per 400 Gram),2.04
2015,Instant Noodles (Per 5 Packets),2.19
2015,"Lean Pork, Chilled (Per Kilogram)",13.32
2015,"Streaky Pork, Chilled (Per Kilogram)",15.04
2015,"Pork Rib Bones, Chilled (Per Kilogram)",16.72
2015,"Beef, Chilled (Per Kilogram)",23.27
2015,"Mutton, Chilled (Per Kilogram)",18.15
2015,"Whole Chicken, Chilled (Per Kilogram)",6.11
2015,"Chicken Wing, Chilled (Per Kilogram)",7.89
2015,"Duck, Chilled (Per Kilogram)",6.95
2015,"Lean Pork, Frozen (Per 500 Gram)",4.32
2015,"Pork Rib Bones, Frozen (Per 500 Gram)",4.97
2015,Cod Fish (Per Kilogram),51.61
2015,Gold Banded Scad (Kuning) (Per Kilogram),6.96
2015,Flowery Grouper (Per Kilogram),13.88
2015,White Pomfret (Per Kilogram),26.29
2015,Salmon (Per Kilogram),27.26
2015,Sea Bass (Per Kilogram),11.97
2015,Sea Bream (Ang Ko Li) (Per Kilogram),8.6
2015,Golden Snapper (Per Kilogram),18.78
2015,Spanish Mackerel (Batang) (Per Kilogram),11.61
2015,Threadfin (Kurau) (Per Kilogram),52.93
2015,Small Prawns (Per Kilogram),13.19
2015,Medium Prawns (Per Kilogram),18.65
2015,Squids (Per Kilogram),13.3
2015,Fresh Milk (Per Litre),2.84
2015,Infant Milk Powder (Per 100 Gram),5.97
2015,Cheese (Per 12 Slices),4.77
2015,Hen Eggs (Per 10),2.22
2015,Cooking Oil (Per 2 Kilogram),6.31
2015,Bananas (Per Kilogram),2.18
2015,Papaya (Per Kilogram),1.96
2015,Watermelon (Per Kilogram),1.61
2015,Grapes (Per Kilogram),9.25
2015,Orange (Each),0.39
2015,Apple (Each),0.45
2015,Pear (Each),0.94
2015,Broccoli (Per Kilogram),5.9
2015,Cabbage (Per Kilogram),2.09
2015,Chinese Kale (Kailan) (Per Kilogram),5.17
2015,Small Mustard (Chye Sim) (Per Kilogram),3.18
2015,Spinach (Bayam) (Per Kilogram),2.78
2015,Tomatoes (Per Kilogram),2.37
2015,Potatoes (Per Kilogram),1.98
2015,Carrots (Per Kilogram),2.07
2015,White Sugar (Per 2 Kilogram),3.13
2015,Instant Coffee (Per 200 Gram),10.11
2015,Aerated Soft Drinks (Per 4 Cans),2.55
2015,Non-aerated Soft Drinks (Per 6 Packets),2.46
2015,Beer (Per 6 Cans),17.46
2015,Cigarettes (Per Pack),11.99
2015,Coffee/tea Without Milk (Per Cup),0.98
2015,Coffee/tea With Milk (Per Cup),1.09
2015,Fishball Noodle (Per Bowl),3.21
2015,Mee Rebus (Per Bowl),3.01
2015,Chicken Rice (Per Plate),3.21
2015,Chicken Nasi Briyani (Per Plate),5.18
2015,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.15
2015,Roti Prata (Plain) (Per Piece),1
2015,Fried Carrot Cake (Per Plate),2.85
2015,Ice Kachang (Per Bowl),1.9
2015,Diesel (Per Litre),1.17
2015,"Petrol, 98 Octane (Per Litre)",2.19
2015,"Petrol, 95 Octane (Per Litre)",1.92
2015,"Petrol, 92 Octane (Per Litre)",1.87
2015,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.33
2016,Premium Thai Rice (Per 5 Kilogram),13.13
2016,Ordinary White Bread (Per 400 Gram),1.62
2016,Vitamin Enriched Bread (Per 400 Gram),1.88
2016,Wholemeal Bread (Per 400 Gram),2.04
2016,Instant Noodles (Per 5 Packets),2.26
2016,"Lean Pork, Chilled (Per Kilogram)",13.81
2016,"Streaky Pork, Chilled (Per Kilogram)",15.76
2016,"Pork Rib Bones, Chilled (Per Kilogram)",17.2
2016,"Beef, Chilled (Per Kilogram)",23.86
2016,"Mutton, Chilled (Per Kilogram)",18.27
2016,"Whole Chicken, Chilled (Per Kilogram)",6.35
2016,"Chicken Wing, Chilled (Per Kilogram)",8.04
2016,"Duck, Chilled (Per Kilogram)",7.09
2016,"Lean Pork, Frozen (Per 500 Gram)",4.23
2016,"Pork Rib Bones, Frozen (Per 500 Gram)",4.78
2016,Cod Fish (Per Kilogram),59.51
2016,Gold Banded Scad (Kuning) (Per Kilogram),6.98
2016,Flowery Grouper (Per Kilogram),14.44
2016,White Pomfret (Per Kilogram),27.66
2016,Salmon (Per Kilogram),28.87
2016,Sea Bass (Per Kilogram),12.45
2016,Sea Bream (Ang Ko Li) (Per Kilogram),8.81
2016,Golden Snapper (Per Kilogram),18.66
2016,Spanish Mackerel (Batang) (Per Kilogram),11.57
2016,Threadfin (Kurau) (Per Kilogram),56.95
2016,Small Prawns (Per Kilogram),13.39
2016,Medium Prawns (Per Kilogram),18.8
2016,Squids (Per Kilogram),14.51
2016,Fresh Milk (Per Litre),2.81
2016,Infant Milk Powder (Per 100 Gram),6.23
2016,Cheese (Per 12 Slices),4.56
2016,Hen Eggs (Per 10),2.17
2016,Cooking Oil (Per 2 Kilogram),6
2016,Bananas (Per Kilogram),2.31
2016,Papaya (Per Kilogram),1.97
2016,Watermelon (Per Kilogram),1.52
2016,Grapes (Per Kilogram),9.26
2016,Orange (Each),0.43
2016,Apple (Each),0.43
2016,Pear (Each),0.99
2016,Broccoli (Per Kilogram),6.31
2016,Cabbage (Per Kilogram),2.26
2016,Chinese Kale (Kailan) (Per Kilogram),5.89
2016,Small Mustard (Chye Sim) (Per Kilogram),3.32
2016,Spinach (Bayam) (Per Kilogram),2.81
2016,Tomatoes (Per Kilogram),2.25
2016,Potatoes (Per Kilogram),2.07
2016,Carrots (Per Kilogram),2.13
2016,White Sugar (Per 2 Kilogram),3.09
2016,Instant Coffee (Per 200 Gram),10.27
2016,Aerated Soft Drinks (Per 4 Cans),2.57
2016,Non-aerated Soft Drinks (Per 6 Packets),2.4
2016,Beer (Per 6 Cans),17.28
2016,Cigarettes (Per Pack),12.04
2016,Coffee/tea Without Milk (Per Cup),1
2016,Coffee/tea With Milk (Per Cup),1.11
2016,Fishball Noodle (Per Bowl),3.26
2016,Mee Rebus (Per Bowl),3.07
2016,Chicken Rice (Per Plate),3.25
2016,Chicken Nasi Briyani (Per Plate),5.32
2016,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.22
2016,Roti Prata (Plain) (Per Piece),1.02
2016,Fried Carrot Cake (Per Plate),2.89
2016,Ice Kachang (Per Bowl),1.93
2016,Diesel (Per Litre),1.04
2016,"Petrol, 98 Octane (Per Litre)",2.17
2016,"Petrol, 95 Octane (Per Litre)",1.82
2016,"Petrol, 92 Octane (Per Litre)",1.77
2016,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.36
2017,Premium Thai Rice (Per 5 Kilogram),13.01
2017,Ordinary White Bread (Per 400 Gram),1.63
2017,Vitamin Enriched Bread (Per 400 Gram),1.8
2017,Wholemeal Bread (Per 400 Gram),2.04
2017,Instant Noodles (Per 5 Packets),2.26
2017,"Lean Pork, Chilled (Per Kilogram)",13.7
2017,"Streaky Pork, Chilled (Per Kilogram)",15.73
2017,"Pork Rib Bones, Chilled (Per Kilogram)",17.33
2017,"Beef, Chilled (Per Kilogram)",24.24
2017,"Mutton, Chilled (Per Kilogram)",18.27
2017,"Whole Chicken, Chilled (Per Kilogram)",6.58
2017,"Chicken Wing, Chilled (Per Kilogram)",8.03
2017,"Duck, Chilled (Per Kilogram)",7.33
2017,"Lean Pork, Frozen (Per 500 Gram)",4.36
2017,"Pork Rib Bones, Frozen (Per 500 Gram)",5
2017,Cod Fish (Per Kilogram),65.05
2017,Gold Banded Scad (Kuning) (Per Kilogram),7.25
2017,Flowery Grouper (Per Kilogram),14.19
2017,White Pomfret (Per Kilogram),28.69
2017,Salmon (Per Kilogram),31.28
2017,Sea Bass (Per Kilogram),12.19
2017,Sea Bream (Ang Ko Li) (Per Kilogram),9.01
2017,Golden Snapper (Per Kilogram),18.57
2017,Spanish Mackerel (Batang) (Per Kilogram),12.2
2017,Threadfin (Kurau) (Per Kilogram),57.28
2017,Small Prawns (Per Kilogram),14.07
2017,Medium Prawns (Per Kilogram),19.15
2017,Squids (Per Kilogram),14.97
2017,Fresh Milk (Per Litre),2.81
2017,Infant Milk Powder (Per 100 Gram),6.29
2017,Cheese (Per 12 Slices),4.48
2017,Hen Eggs (Per 10),2.09
2017,Cooking Oil (Per 2 Kilogram),5.96
2017,Bananas (Per Kilogram),2.35
2017,Papaya (Per Kilogram),1.96
2017,Watermelon (Per Kilogram),1.55
2017,Grapes (Per Kilogram),9.69
2017,Orange (Each),0.44
2017,Apple (Each),0.42
2017,Pear (Each),1.01
2017,Broccoli (Per Kilogram),6.09
2017,Cabbage (Per Kilogram),2.25
2017,Chinese Kale (Kailan) (Per Kilogram),5.82
2017,Small Mustard (Chye Sim) (Per Kilogram),3.33
2017,Spinach (Bayam) (Per Kilogram),2.88
2017,Tomatoes (Per Kilogram),2.27
2017,Potatoes (Per Kilogram),2.18
2017,Carrots (Per Kilogram),2.16
2017,White Sugar (Per 2 Kilogram),3.19
2017,Instant Coffee (Per 200 Gram),10.34
2017,Aerated Soft Drinks (Per 4 Cans),2.59
2017,Non-aerated Soft Drinks (Per 6 Packets),2.33
2017,Beer (Per 6 Cans),16.78
2017,Cigarettes (Per Pack),12.11
2017,Coffee/tea Without Milk (Per Cup),1.03
2017,Coffee/tea With Milk (Per Cup),1.14
2017,Fishball Noodle (Per Bowl),3.31
2017,Mee Rebus (Per Bowl),3.16
2017,Chicken Rice (Per Plate),3.29
2017,Chicken Nasi Briyani (Per Plate),5.51
2017,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.27
2017,Roti Prata (Plain) (Per Piece),1.05
2017,Fried Carrot Cake (Per Plate),2.94
2017,Ice Kachang (Per Bowl),1.97
2017,Diesel (Per Litre),1.34
2017,"Petrol, 98 Octane (Per Litre)",2.33
2017,"Petrol, 95 Octane (Per Litre)",2
2017,"Petrol, 92 Octane (Per Litre)",1.95
2017,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.56
2018,Premium Thai Rice (Per 5 Kilogram),13.06
2018,Ordinary White Bread (Per 400 Gram),1.68
2018,Vitamin Enriched Bread (Per 400 Gram),1.83
2018,Wholemeal Bread (Per 400 Gram),2.03
2018,Instant Noodles (Per 5 Packets),2.27
2018,"Lean Pork, Chilled (Per Kilogram)",13.73
2018,"Streaky Pork, Chilled (Per Kilogram)",15.78
2018,"Pork Rib Bones, Chilled (Per Kilogram)",17.31
2018,"Beef, Chilled (Per Kilogram)",24.89
2018,"Mutton, Chilled (Per Kilogram)",18.53
2018,"Whole Chicken, Chilled (Per Kilogram)",6.44
2018,"Chicken Wing, Chilled (Per Kilogram)",8.05
2018,"Duck, Chilled (Per Kilogram)",7.38
2018,"Lean Pork, Frozen (Per 500 Gram)",4.35
2018,"Pork Rib Bones, Frozen (Per 500 Gram)",4.89
2018,Cod Fish (Per Kilogram),65.39
2018,Gold Banded Scad (Kuning) (Per Kilogram),7.92
2018,Flowery Grouper (Per Kilogram),13.78
2018,White Pomfret (Per Kilogram),29.68
